triplet_id,chapter,Num_paragr,Num_phrase,Sentence_index,Phrase,Sujet,Verbe,Objet,Lemme_verbe,personnages_triptyque,lieux_triptyque,types_lieux_triptyque,time_texte_phrase,time_code_phrase,date_jour_phrase,jour_romanesque_phrase,time_texte_precedent,time_code_precedent,date_jour_precedent,jour_romanesque_precedent,time_texte_auto,time_code_auto,date_jour_auto,jour_romanesque_auto,source_temps_auto,lieux_labels,a_personnage,a_lieu,deplacement
50,1,6,17,18,"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,fait,de rien,faire,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
51,1,6,17,18,"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",,pouvaient,,pouvoir,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
52,1,6,17,18,"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",,dire,,dire,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
53,1,6,17,18,"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,convînt,,convenir,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
54,1,6,17,18,"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,adresser,s',adresser,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
55,1,6,17,18,"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,apprendre,l',apprendre,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
56,1,6,17,18,"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,manquait,où,manquer,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
57,1,6,17,18,"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,manquait,il,manquer,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
58,1,6,17,18,"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,manquait,un appoint pour une chose noble utile ou généreuse,manquer,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
59,1,6,17,18,"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,apportait,l',apporter,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
60,1,7,19,20,"Il parlait aussi peu que possible, et semblait d' autant plus mystérieux qu' il était silencieux.",Il,parlait,,parler,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
61,1,7,19,20,"Il parlait aussi peu que possible, et semblait d' autant plus mystérieux qu' il était silencieux.",Il,semblait,,sembler,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
62,1,7,20,21,"Cependant sa vie était à jour, mais ce qu' il faisait était si mathématiquement toujours la même chose, que l' imagination, mécontente, cherchait au-delà.",il,faisait,qu',faire,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
63,1,7,20,21,"Cependant sa vie était à jour, mais ce qu' il faisait était si mathématiquement toujours la même chose, que l' imagination, mécontente, cherchait au-delà.",l'imagination mécontente,cherchait,au-delà,chercher,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
64,1,8,21,22,Avait -il voyagé?,-il,voyagé,,voyager,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
65,1,8,22,23,"C' était probable, car personne ne possédait mieux que lui la carte du monde.",personne,possédait,la carte du monde,posséder,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
