chapter,Phrase,Sujet,Verbe,Objet,time_code,macro_categorie_dynamouv,categorie_base_dynamouv,aspect_lexical_dynamouv,maniere_dynamouv
,"Elle traversa comme un éclair l' Indiana, l' Ohio, la Pennsylvanie, le New Jersey, passant par des villes aux noms antiques, dont quelques - unes avaient des rues et des tramways, mais pas de maisons encore.",Elle,traversa,l'Indiana l'Ohio la Pennsylvanie le New Jersey,1872-12-12-16-00,Dpt au sens large,Dpt au sens strict,télique,
,Ils employaient à cette traversée de New York à l' Angleterre plus de temps qu' il n' en restait à Mr. Fogg pour gagner son pari.,Ils,gagner,son pari,1872-12-14-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Mr. Fogg ne lui fit, cependant, aucun reproche, et, en quittant le pier des paquebots transatlantiques, il ne dit que ces mots:",il,quittant,le pier des paquebots transatlantiques,1872-12-14-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Aouda, Fix, Passepartout traversèrent l' Hudson dans le Jersey - city - ferry - boat, et montèrent dans un fiacre, qui les conduisit à l' hôtel Saint-Nicolas, dans Broadway.",Aouda Fix Passepartout,traversèrent,l'Hudson,1872-12-14-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Aouda, Fix, Passepartout traversèrent l' Hudson dans le Jersey - city - ferry - boat, et montèrent dans un fiacre, qui les conduisit à l' hôtel Saint-Nicolas, dans Broadway.",Aouda Fix Passepartout,traversèrent,dans,1872-12-14-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Aouda, Fix, Passepartout traversèrent l' Hudson dans le Jersey - city - ferry - boat, et montèrent dans un fiacre, qui les conduisit à l' hôtel Saint-Nicolas, dans Broadway.",Aouda Fix Passepartout,traversèrent,le Jersey-city,1872-12-14-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Aouda, Fix, Passepartout traversèrent l' Hudson dans le Jersey - city - ferry - boat, et montèrent dans un fiacre, qui les conduisit à l' hôtel Saint-Nicolas, dans Broadway.",Aouda Fix Passepartout,traversèrent,Jersey-city-ferry,1872-12-14-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Aouda, Fix, Passepartout traversèrent l' Hudson dans le Jersey - city - ferry - boat, et montèrent dans un fiacre, qui les conduisit à l' hôtel Saint-Nicolas, dans Broadway.",Aouda Fix Passepartout,traversèrent,city-ferry,1872-12-14-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Aouda, Fix, Passepartout traversèrent l' Hudson dans le Jersey - city - ferry - boat, et montèrent dans un fiacre, qui les conduisit à l' hôtel Saint-Nicolas, dans Broadway.",Aouda Fix Passepartout,traversèrent,city-ferry,1872-12-14-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Aouda, Fix, Passepartout traversèrent l' Hudson dans le Jersey - city - ferry - boat, et montèrent dans un fiacre, qui les conduisit à l' hôtel Saint-Nicolas, dans Broadway.",Aouda Fix Passepartout,traversèrent,ferry-boat,1872-12-14-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Aouda, Fix, Passepartout traversèrent l' Hudson dans le Jersey - city - ferry - boat, et montèrent dans un fiacre, qui les conduisit à l' hôtel Saint-Nicolas, dans Broadway.",Aouda Fix Passepartout,traversèrent,ferry-boat,1872-12-14-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Aouda, Fix, Passepartout traversèrent l' Hudson dans le Jersey - city - ferry - boat, et montèrent dans un fiacre, qui les conduisit à l' hôtel Saint-Nicolas, dans Broadway.",Aouda Fix Passepartout,montèrent,dans un fiacre,1872-12-14-00-00,Dpt au sens large,Dpt au sens faible,atélique,
,"Si donc Phileas Fogg fût parti la veille par le China, l' un des meilleurs marcheurs de la ligne Cunard, il serait arrivé à Liverpool, puis à Londres, dans les délais voulus!",il,arrivé,l'un des meilleurs marcheurs de la ligne Cunard,1872-12-21-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Si donc Phileas Fogg fût parti la veille par le China, l' un des meilleurs marcheurs de la ligne Cunard, il serait arrivé à Liverpool, puis à Londres, dans les délais voulus!",il,arrivé,à Liverpool puis à Londres,1872-12-21-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Si donc Phileas Fogg fût parti la veille par le China, l' un des meilleurs marcheurs de la ligne Cunard, il serait arrivé à Liverpool, puis à Londres, dans les délais voulus!",il,arrivé,dans les délais,1872-12-21-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Mr. Fogg quitta l' hôtel, seul, après avoir recommandé à son domestique de l' attendre et de prévenir Mrs.",Mr. Fogg,quitta,l'hôtel,1872-12-21-00-00,Dpt au sens large,Dpt au sens strict,télique,
