groupe,entity_id,paragraph_ID,sentence_ID,start_token,end_token,text,time_kind,precision,annee,mois,jour,heure,minute,datetime_auto,time_code_auto,jour_romanesque,debut_auto,fin_auto,duration_value,duration_unit,duration_relation,regle
garbage_probable,859,1973,4389,84447,84447,qui,garbage_probable,non_temporel,,,,,,,,,,,,,,garbage_probable
reference_evenement,142,335,646,12633,12638,le jour même de notre départ,reference_evenement,non_instancie,,,,,,,,,,,,,,reference_evenement
reference_evenement,191,447,877,17779,17783,la dernière révolte des cipayes,reference_evenement,non_instancie,,,,,,,,,,,,,,reference_evenement
reference_evenement,201,465,925,19041,19046,jusqu' à son arrivée à bombay,reference_evenement,non_instancie,,,,,,,,,,,,,,reference_evenement
reference_evenement,315,802,1699,33477,33481,depuis notre départ de calcutta,reference_evenement,non_instancie,,,,,,,,,,,,,,reference_evenement
reference_evenement,384,958,2087,40699,40703,le jour de son départ,reference_evenement,non_instancie,,,,,,,,,,,,,,reference_evenement
reference_evenement,398,995,2159,41934,41936,le prochain départ,reference_evenement,non_instancie,,,,,,,,,,,,,,reference_evenement
reference_evenement,452,1123,2430,46584,46589,le départ du paquebot de yokohama,reference_evenement,non_instancie,,,,,,,,,,,,,,reference_evenement
reference_evenement,456,1125,2435,46684,46689,le départ du paquebot de yokohama,reference_evenement,non_instancie,,,,,,,,,,,,,,reference_evenement
reference_evenement,478,1199,2608,50489,50491,avant leur départ,reference_evenement,non_instancie,,,,,,,,,,,,,,reference_evenement
reference_evenement,540,1352,2977,58255,58258,depuis les derniers événements,reference_evenement,non_instancie,,,,,,,,,,,,,,reference_evenement
reference_evenement,593,1405,3130,62909,62913,le meeting de san francisco,reference_evenement,non_instancie,,,,,,,,,,,,,,reference_evenement
reference_evenement,655,1633,3639,71339,71341,dès son arrivée,reference_evenement,non_instancie,,,,,,,,,,,,,,reference_evenement
