triplet_row,triplet_id,Num_paragr,Num_phrase,chapter,verbe,lemme_verbe,est_verbe_deplacement,lieu_entity_id,lieu_texte,lieu_normalise,lieu_id_auto,niveau_lieu,lieu_cat,prep_lieu,relation_lieu,lien_triptyque_lieu,distance_verbe_lieu,head_dependency_relation,head_syntactic_head_ID
9959,9959,1485,3294,,franchi,franchir,True,2501,le train,train,vehicule::train,vehicule,VEH,a,destination,sujet,4,nsubj,65667
9959,9959,1485,3294,,franchi,franchir,True,2502,la rivière,rivière,toponyme::riviere,toponyme,LOC,,cadre,ud_ancetre_verbe,1,obj,65667
9959,9959,1485,3294,,franchi,franchir,True,2503,le pont,pont,lieu_precis::pont,lieu_precis,FAC,,cadre,ud_ancetre_verbe,5,nsubj,65679
9959,9959,1485,3294,,franchi,franchir,True,2504,medicine - bow,medicine - bow,toponyme::medicine bow,toponyme,LOC,de,source,ud_ancetre_verbe,19,nmod,65684
9960,9960,1485,3294,,franchi,franchir,True,2501,le train,train,vehicule::train,vehicule,VEH,a,destination,sujet,4,nsubj,65667
9960,9960,1485,3294,,franchi,franchir,True,2502,la rivière,rivière,toponyme::riviere,toponyme,LOC,,cadre,objet,1,obj,65667
9960,9960,1485,3294,,franchi,franchir,True,2503,le pont,pont,lieu_precis::pont,lieu_precis,FAC,,cadre,ud_ancetre_verbe,5,nsubj,65679
9960,9960,1485,3294,,franchi,franchir,True,2504,medicine - bow,medicine - bow,toponyme::medicine bow,toponyme,LOC,de,source,ud_ancetre_verbe,19,nmod,65684
9962,9962,1485,3294,,abîmait,abîmer,False,2503,le pont,pont,lieu_precis::pont,lieu_precis,FAC,,cadre,sujet,7,nsubj,65679
9962,9962,1485,3294,,abîmait,abîmer,False,2504,medicine - bow,medicine - bow,toponyme::medicine bow,toponyme,LOC,de,source,ud_ancetre_verbe,7,nmod,65684
9963,9963,1485,3294,,abîmait,abîmer,False,2503,le pont,pont,lieu_precis::pont,lieu_precis,FAC,,cadre,sujet,7,nsubj,65679
9963,9963,1485,3294,,abîmait,abîmer,False,2504,medicine - bow,medicine - bow,toponyme::medicine bow,toponyme,LOC,de,source,ud_ancetre_verbe,7,nmod,65684
9964,9964,1485,3294,,abîmait,abîmer,False,2503,le pont,pont,lieu_precis::pont,lieu_precis,FAC,,cadre,sujet,7,nsubj,65679
9964,9964,1485,3294,,abîmait,abîmer,False,2504,medicine - bow,medicine - bow,toponyme::medicine bow,toponyme,LOC,de,source,objet,7,nmod,65684
9965,9965,1486,3295,,poursuivait,poursuivre,True,2505,le train,train,vehicule::train,vehicule,VEH,,cadre,sujet,2,nsubj,65696
9965,9965,1486,3295,,poursuivait,poursuivre,True,2506,sa,sa,vehicule::sa,vehicule,VEH,,cadre,ud_ancetre_verbe,1,det,65698
9965,9965,1486,3295,,poursuivait,poursuivre,True,2507,le fort sauders,fort sauders,lieu_precis::fort sauders,lieu_precis,FAC,,cadre,ud_ancetre_verbe,7,obj,65702
9965,9965,1486,3295,,poursuivait,poursuivre,True,2508,cheyenne,cheyenne,toponyme::cheyenne,toponyme,LOC,de,source,ud_ancetre_verbe,15,nmod,65709
9965,9965,1486,3295,,poursuivait,poursuivre,True,2509,la passe d' evans,passe d' evans,toponyme::passe d' evans,toponyme,LOC,a,destination,ud_ancetre_verbe,19,obl:arg,65713
9966,9966,1486,3295,,poursuivait,poursuivre,True,2505,le train,train,vehicule::train,vehicule,VEH,,cadre,sujet,2,nsubj,65696
9966,9966,1486,3295,,poursuivait,poursuivre,True,2506,sa,sa,vehicule::sa,vehicule,VEH,,cadre,objet,1,det,65698
9966,9966,1486,3295,,poursuivait,poursuivre,True,2507,le fort sauders,fort sauders,lieu_precis::fort sauders,lieu_precis,FAC,,cadre,ud_ancetre_verbe,7,obj,65702
9966,9966,1486,3295,,poursuivait,poursuivre,True,2508,cheyenne,cheyenne,toponyme::cheyenne,toponyme,LOC,de,source,ud_ancetre_verbe,15,nmod,65709
9966,9966,1486,3295,,poursuivait,poursuivre,True,2509,la passe d' evans,passe d' evans,toponyme::passe d' evans,toponyme,LOC,a,destination,ud_ancetre_verbe,19,obl:arg,65713
9967,9967,1486,3295,,dépassait,dépasser,True,2505,le train,train,vehicule::train,vehicule,VEH,,cadre,sujet,8,nsubj,65696
9967,9967,1486,3295,,dépassait,dépasser,True,2506,sa,sa,vehicule::sa,vehicule,VEH,,cadre,phrase_proche_deplacement,5,det,65698
9967,9967,1486,3295,,dépassait,dépasser,True,2507,le fort sauders,fort sauders,lieu_precis::fort sauders,lieu_precis,FAC,,cadre,objet,1,obj,65702
9967,9967,1486,3295,,dépassait,dépasser,True,2508,cheyenne,cheyenne,toponyme::cheyenne,toponyme,LOC,de,source,phrase_proche_deplacement,9,nmod,65709
9968,9968,1486,3295,,franchissait,franchir,True,2505,le train,train,vehicule::train,vehicule,VEH,,cadre,sujet,13,nsubj,65696
9968,9968,1486,3295,,franchissait,franchir,True,2506,sa,sa,vehicule::sa,vehicule,VEH,,cadre,phrase_proche_deplacement,10,det,65698
