"Verbe";"Macro-catégorie";"Catégorie de base";"Aspect lexical";"Manière";"Paramètre 1";"Paramètre 2";"Définition du TLFi";"Définition de Glawi et du Wiktionnaire";"Commentaire"
"télescoper";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";"Heurter violemment et défoncer un objet et, en partic., un autre véhicule placé sur la même trajectoire. Synon. emboutir (fam.), tamponner.";"Se replier l’un dans l’autre, en parlant d’objets qui rentrent les uns dans les autres comme les différentes parties d’une lunette, d’un télescope. / Percuter violemment.";""
"tituber";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Vaciller, chanceler sur ses jambes ou sur ses pattes. / Aller de droite et de gauche, se balancer.";"Avancer en marchant, en ayant du mal à garder son équilibre, d’une façon chancelante.";""
"tomber";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Être entraîné vers le bas sous l'effet de la pesanteur. Synon. choir, chuter. / Tendre vers le bas en restant en équilibre ou suspendu à quelque chose. Pendre. / ";"Être entraîné en bas par son poids. / Perdre son équilibre ; être renversé ou abattu. / Se détacher.";""
"tortiller";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"Se déplacer avec un déhanchement exagéré.";"Marcher avec un mouvement, un balancement trop marqué des hanches.";""
"toucher";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"Entrer en contact avec quelqu'un, quelque chose. / Entrer en contact avec quelqu'un, quelque chose au cours ou au terme d'un déplacement, d'une trajectoire. / (Marine) (Le sujet désigne un navire, une embarcation) Atteindre un lieu, aborder, faire escale. ";"Mettre la main sur quelque chose. / Atteindre. / Aborder, arriver à. / Il se dit aussi en parlant du contact qui a lieu entre toutes sortes de choses, lorsqu’elles se joignent. Être contigu à.";""
"toupiller 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Tourner sur soi-même comme le fait une toupie.";"";""
"toupiller 2";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"";"Tournoyer comme une toupie, en parlant des personnes qui vont et viennent dans une maison sans savoir pourquoi.";""
"toupiner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Tourner sur soi-même comme le fait une toupie. ";"Tourner sur place comme une toupie.";""
"tourbichonner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"";"Tourner, tourniquer.";""
"tourbillonner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Tournoyer, former un tourbillon, être emporté dans un tourbillon. /  Être emporté, s'élancer dans un mouvement rapide qui tourne sur lui-même.";"Aller en tournoyant rapidement.";""
"tourner 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Se mouvoir en effectuant une rotation.";"Mouvoir en rond, par un mouvement circulaire ou en ligne courbe, autour d’un axe de rotation.";""
"tourner 2";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"Se mouvoir, se déplacer en décrivant une circonférence ou une ellipse autour d'un point donné.";"Décrire un mouvement circulaire autour de quelque chose ; contourner.";""
"tourner 3";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Changer de direction, aller dans un autre sens, en sens inverse.";"";""
"tourniquer 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Tourner sur soi.";"Tourner en rond.";""
"tourniquer 2";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"Aller çà et là, tourner sur place. Synon. tournailler, tournicoter, tourniller.";"";""
"tournoyer 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Tourner sur soi dans un mouvement rapide et souvent incontrôlé. / Être entraîné dans des mouvements de rotation, des tourbillons; tourner rapidement autour de quelque chose ou de quelqu'un. Synon. tourbillonner.  / Décrire des sinuosités, des spirales.";"Tourner en faisant plusieurs tours.";""
"tournoyer 2";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"Décrire des cercles au-dessus ou autour d'un même lieu.";"Tourner en faisant plusieurs tours.";""
"trabouler";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Traverser par une traboule.";"Traverser un quartier par une traboule.";""
