"Verbe";"Macro-catégorie";"Catégorie de base";"Aspect lexical";"Manière";"Paramètre 1";"Paramètre 2";"Définition du TLFi";"Définition de Glawi et du Wiktionnaire";"Commentaire"
"tracer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"";"(Marine) Aller vite (parce qu'on fait une forte trace, un grand sillage). / (Pop.) Marcher vite, filer. ";"(Populaire) Filer, se dépêcher.";""
"traînailler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"vitesse";"Traîner un peu la jambe, marcher assez difficilement. Errer çà et là en s'arrêtant.";"(Familier) Traîner. / (Familier) Traîner en longueur.";""
"traînasser";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"vitesse";"Traîner un peu la jambe, marcher assez difficilement. / Errer çà et là en s'arrêtant.";"";""
"traîner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"vitesse";"Frotter le sol, une surface en se mouvant. / Être éparpillé çà et là en désordre, ne pas être rangé. / Aller longtemps sans but çà et là; être là où on ne fait rien d'intéressant ou dans un lieu mal famé; être désœuvré. Avancer, marcher trop lentement. ";"Pendre jusqu’à terre. / Marcher trop lentement, se prolonger. / Rester en arrière. / Se promener oisivement.";""
"traînouiller";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"vitesse";"";"Traîner un peu.";""
"transhumer";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"[Le suj. désigne des animaux] Se déplacer lors de la transhumance. / [Le suj. désigne une pers.] Se déplacer avec son troupeau lors de la transhumance.";"Changer de lieu de pacage en parlant d’un troupeau selon la saison ou les conditions climatiques d'une région.";""
"transiter";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"finalité";"";"Passer, faire passer en transit. / Voyager en transit.
";"Voyager en transit. / Faire passer en transit.";""
"transmigrer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Passer d'un pays dans un autre. (Philos.) (En parlant de l'âme) Passer d'un corps dans un autre.";"Migrer (d’un pays à un autre, pour une population). / (Religion) Migrer (d’un corps à un autre, pour une âme).";""
"transpercer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";" Percer de part en part. / Traverser, pénétrer. / Apparaître, se faire voir, percer.";"Percer de part en part.";""
"traquer";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"(Chasse) Battre, fouiller un lieu pour faire fuir le gibier. / Poursuivre sans relâche une personne en fuite pour l'arrêter, la capturer.";"(Chasse) Fouiller un bois pour en faire sortir le gibier. / Poursuivre quelqu’un avec acharnement et sans lui laisser d’issue pour s’échapper.";""
"traverser";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Franchir, parcourir quelque chose d'une extrémité à l'autre. / Passer à travers, percer, pénétrer de part en part (un corps, un objet, un milieu).";"Passer à travers, d’un côté à l’autre. / Changer de côté dans une rue, sur une route. / Percer de part en part.";""
"trébucher";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Tomber. / Faire un faux pas, perdre l’équilibre, mais sans tomber.";"Faire un faux pas.";""
"tremper";"Mouvement inféré";"";"télique";"";"";"";"Être plongé dans l'eau, dans un liquide, en totalité ou en partie et pour un certain temps. ";"";""
"trépider";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"Être animé d'un mouvement vibratoire. Synon. vibrer. ";"Bouger par de très petites secousses, vibrer.";""
"trépigner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"(re)configuration de la cible";"";"[Le suj. désigne une pers., un animal] Frapper des pieds sur place à plusieurs reprises, rapidement. /  [Le suj. désigne un cheval] Lever et poser rapidement ses sabots sur place, en signe de nervosité. Synon. piaffer.";"Frapper des pieds contre terre, d’un mouvement vif et rapide.";""
"tricoter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"vitesse";"(Familier) Marcher, courir, danser, en remuant beaucoup les jambes (se dit aussi pour un cycliste, un cheval, qui croise les pieds en marchant). ";"Avancer à petits pas en ramenant un pied vers l’autre. / Marcher très vite, courir.";""
"trimarder";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"milieu";"Vagabonder; en partic., se déplacer de ferme en ferme ou de ville en ville pour chercher de l'ouvrage. Synon. trimer.";"Vagabonder sur les routes.";""
"trotter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"vitesse";"Aller au trot, avancer à l'allure du trot. / Marcher à petits pas rapides. / Avancer à petits pas rapides.";"Aller le trot. / Marcher à petits pas rapides.";""
"trottiner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"vitesse";"Aller à un trot très court. / Trotter à petits pas pressés et sautillants.";"Aller à un trot raccourci. / Marcher d’un petit pas accéléré.";""
"turboter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"";"";"(Familier) Aller vite. / (Familier) Travailler loin de son lieu de résidence et faire chaque semaine le trajet en train.";""
"twerker";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"";"Danser le twerk.";""
"twister";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Danser le twist.";"Danser le twist.";""
"vaciller 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"Être animé de mouvements oscillatoires irréguliers qui peuvent entraîner un déséquilibre et provoquer la chute. / Être pris d'un mouvement qui dénote un manque d'équilibre, de stabilité, de fermeté et dénonce un moment de faiblesse, de vertige. Synon. chanceler, chavirer. / [Le suj. désigne une flamme, une source de lumière] Être agité de mouvements irréguliers provoquant des variations d'intensité.";"Chanceler ; trembler ; n’être pas bien ferme.";""
"vaciller 2";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"";"Être animé de mouvements oscillatoires irréguliers qui peuvent entraîner un déséquilibre et provoquer la chute. ";"";""
"vadrouiller";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"";"(Familier) Aller au hasard, se promener sans but précis.";"(Familier) (Populaire) Se promener sans but, errer.";""
"vagabonder";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"";"Aller, voyager au hasard, à l'aventure. / Errer, divaguer en quête de nourriture; p. ext., aller, se déplacer sans but apparent. / (Le suj. désigne une route, un cours d'eau) Dessiner un tracé sinueux, capricieux.";"Errer sans but. / Errer ; voyager sans cesse.";""
"vaguer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"";"Errer çà et là, aller au gré de sa fantaisie, sans but précis.";"Errer çà et là, aller de côté et d’autre à l’aventure.";""
"valdinguer";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"(Pop.) Tomber, dégringoler, dinguer.";"(Familier) Tomber.";""
"valser 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Danser la valse, une valse.";"Danser la valse, une valse.";""
"valser 2";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"";"Tourner, balancer en tournant.";"";""
"varapper";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"effort";"Pratiquer l'escalade de rocher, faire de la varappe.";"Pratiquer la varappe.";""
"vélocipéder";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"";"";"Aller sur un vélocipède.";""
"venir";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Se déplacer dans la direction d'un lieu ou d'une personne de référence. / Aller auprès d'une personne, dans un lieu, pris comme référence.";"Se rendre sur le lieu où se trouve celui qui parle ou dont on parle. / S’étendre jusqu'à un point précis, atteindre une limite. / Se déplacer en sens inverse, quand celui qui parle invite un autre à l’accompagner.";""
"verser";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"Basculer et tomber sur le coté.";"(Intransitif) (Canada) (Populaire) Chavirer.";""
"vibrer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"Être agité de vibrations. Synon. trembler, trépider.";"Exécuter des vibrations.";""
"vibrionner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"S'agiter sans cesse.";"Bouger sans arrêt dans tous les sens, s'agiter pour se faire remarquer.";""
"vider";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Rendre vide un contenant en enlevant ce qu'il contenait.";"Retirer d’un récipient ou de quelque lieu ce qui y était contenu ; rendre vide. / Sortir, partir, fuir, quitter, par crainte, par force ou par autorité de justice.";""
"virer 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Tourner sur son propre axe, sur soi-même.";"";""
"virer 2";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"forme de la trajectoire";"";"Changer de direction.";"Aller en tournant.";""
"virevolter 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Tourner rapidement sur soi-même, faire une/des virevolte(s).";"(Équitation) Faire des virevoltes.";""
"virevolter 2";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"S'agiter, aller et venir sans cesse en tous sens.";"";""
"visiter";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Se rendre auprès de quelqu'un, rester un certain temps en sa compagnie par affection, politesse, etc. /  Se rendre dans un pays, un lieu, aller voir un monument, un musée, etc. pour le découvrir ou en approfondir l'intérêt artistique, culturel, scientifique, etc. / Fréquenter régulièrement un lieu déterminé.";"(Désuet) Aller voir quelqu’un chez lui sans séjourner. / Aller voir en détail une ville, un monument, un musée, par dévotion ou par curiosité.";""
